#
# VizieR Astronomical Server: http://vizier.u-strasbg.fr 2006-11-17T21:24:24
# Explanations and Statistics of UCDs: See LINK below
# In case of problem, please report to: question@simbad.u-strasbg.fr
# (link)
#
#Coosys J2000: eq_FK5 2000
#INFO -ref=Vxml2846

#RESOURCE=1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Table I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Coosys J2000_1991.250: eq_FK5 2000_1991.250
#Column HIP (I6) Identifier (HIP number) (H1) [ucd=meta.id;meta.main]
#Column _RAJ2000 (F10.6) Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account (computed by VizieR, not part of the original data) [ucd=pos.eq.ra;meta.main]
#Column _DEJ2000 (F10.6) Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account (computed by VizieR, not part of the original data) [ucd=pos.eq.dec;meta.main]
#Column Vmag (F5.2) ? Magnitude in Johnson V (H5)
#---List of values: [ucd=phot.mag;em.opt.V]
#Column B-V (F6.3) ? Johnson B-V colour (H37)
#---List of values: [ucd=phot.color;em.opt.B;em.opt.V]
#Column pmRA (F8.2) Proper motion mu_alpha.cos(delta), ICRS(H12) {\em(for J1991.25 epoch)}
#---List of values: [ucd=pos.pm.ra]
#Column pmDE (F8.2) ? Proper motion mu_delta, ICRS (H13) {\em(for J1991.25 epoch)}
#---List of values: [ucd=pos.pm.dec]
#Column Plx (F7.2) ? Trigonometric parallax (H11)
#---List of values: [ucd=pos.parallax.trig]
#HIP;_RAJ2000;_DEJ2000;Vmag;B-V;pmRA;pmDE;Plx
#;deg;deg;mag;mag;mas/yr;mas/yr;mas
#------;----------;----------;-----;------;--------;--------;-------
  3245; 10.331465;-46.085007; 4.59; 0.953;  -28.92;    1.04;  13.19
  3405; 10.838494;-57.463060; 4.36; 0.024;   -5.16;   15.50;  13.57
  3419; 10.897379;-17.986605; 2.04; 1.019;  232.79;   32.71;  34.04
  3455; 11.047506;-10.609550; 4.77; 0.998;   -6.96; -113.88;  15.54
  3504; 11.181324; 48.284364; 4.48;-0.069;   17.79;   -7.62;   3.60
  3693; 11.834689; 24.267178; 4.08; 1.100; -101.23;  -81.89;  17.98
  3786; 12.170601;  7.585079; 4.44; 1.500;   83.14;  -50.48;  10.69
  3821; 12.276213; 57.815187; 3.46; 0.587; 1087.11; -559.65; 167.99
  3881; 12.453530; 41.078911; 4.53;-0.136;   22.68;  -18.05;   4.80
  4147; 13.252060; -1.144260; 4.78; 1.550;    6.49;  -16.29;   6.28
  4422; 14.166271; 59.181056; 4.62; 0.957;  -92.56;  -45.33;  15.84
  4436; 14.188381; 38.499345; 3.86; 0.130;  152.78;   36.82;  23.93
  4463; 14.301667; 23.417648; 4.40; 0.940;  -43.72;  -46.06;  13.44
  4577; 14.651504;-29.357449; 4.30;-0.154;   22.44;    6.30;   4.85
  4906; 15.735868;  7.890135; 4.27; 0.952;  -80.57;   25.88;  17.14
  5165; 16.521028;-46.718414; 3.32; 0.885;  -70.16;   31.60;  16.46
  5348; 17.096174;-55.245760; 3.94;-0.120;   21.17;   29.70;  11.66
  5364; 17.147465;-10.182264; 3.46; 1.161;  215.81; -138.33;  27.73
  5434; 17.375523; 47.241792; 4.26; 0.012;    3.81;  -13.02;   4.43
  5447; 17.433015; 35.620558; 2.07; 1.576;  175.59; -112.23;  16.36
  5542; 17.775675; 55.149901; 4.34; 0.170;  226.62;  -19.34;  23.73
  5571; 17.863417; 21.034650; 4.66; 1.024;   41.66;  -10.55;   7.42
  5586; 17.915153; 30.089638; 4.51; 1.092;   74.29;  -37.61;  20.11
  5742; 18.437280; 24.583713; 4.67; 1.047;   18.58;  -21.26;   8.64
  6193; 19.866646; 27.264059; 4.74; 0.032;   26.21;  -11.62;  10.49
  6537; 21.005854; -8.183257; 3.60; 1.065;  -78.38; -206.88;  28.48
  6867; 22.091363;-43.318234; 3.41; 1.542;  -18.21; -207.71;  13.94
  7083; 22.812936;-49.072702; 3.93; 0.972;  138.22;  154.20;  22.15
  7097; 22.870873; 15.345823; 3.62; 0.974;   25.73;   -3.29;  11.09
  7294; 23.482820; 59.232040; 4.68; 0.991;  -43.06;  -23.18;  15.96
  7513; 24.199345; 41.405459; 4.10; 0.536; -172.57; -381.01;  74.25
  7588; 24.428527;-57.236757; 0.45;-0.158;   88.02;  -40.08;  22.68
  7607; 24.498150; 48.628213; 3.59; 1.275;   60.90; -112.42;  18.76
  7884; 25.357893;  5.487613; 4.45; 1.347;  -22.73;    3.61;   8.86
  8068; 25.915156; 50.688732; 4.01;-0.098;   24.08;  -13.59;   4.55
  8102; 26.017012;-15.937480; 3.49; 0.727;-1721.82;  854.07; 274.17
  8198; 26.348461;  9.157736; 4.26; 0.942;   70.82;   38.99;  12.63
  8497; 27.396261;-10.686410; 4.66; 0.333; -148.90;  -94.47;  42.35
  8645; 27.865140;-10.335038; 3.74; 1.136;   38.78;  -38.04;  12.59
  8796; 28.270450; 29.578829; 3.42; 0.488;   12.02; -233.69;  50.87
  8832; 28.382560; 19.293852; 3.88;-0.047;   79.43;  -99.10;  15.96
  8833; 28.388960;  3.187537; 4.61; 0.928;   23.69;   23.90;  17.11
  8837; 28.411424;-46.302669; 4.39; 1.597;  -92.38;  -91.46;  10.15
  8903; 28.660038; 20.808035; 2.64; 0.165;   96.32; -108.80;  54.74
  9007; 28.989468;-51.608896; 3.69; 0.844;  681.24;  284.23;  57.19
  9153; 29.482155; 23.596061; 4.79; 0.290;  -91.51;  -14.45;  24.49
  9347; 30.001283;-21.077832; 3.99; 1.554;  133.01;  -24.53;  10.84
  9487; 30.511750;  2.763759; 3.82; 0.024;   33.29;   -0.42;  23.45
  9640; 30.974804; 42.329725; 2.10; 1.370;   43.08;  -50.85;   9.19
  9677; 31.122660;-29.296819; 4.68;-0.156;   12.56;    8.54;   9.03
  9884; 31.793363; 23.462423; 2.01; 1.151;  190.73; -145.77;  49.48
  9977; 32.121916; 37.859077; 4.78; 0.120;  154.22;  -43.64;  16.48
 10064; 32.385945; 34.987297; 3.00; 0.140;  148.78;  -39.13;  26.24
 10324; 33.249981;  8.846717; 4.36; 0.878;  -26.23;  -14.40;   9.01
 10602; 34.127439;-51.512165; 3.56;-0.120;   90.75;  -21.90;  21.06
 10670; 34.328614; 33.847194; 4.03; 0.019;   44.91;  -52.42;  27.73
 11313; 36.405928; 50.278631; 4.73; 1.532;   23.79;  -14.35;   9.46
 11407; 36.746343;-47.703840; 4.24;-0.136;   19.97;   -5.44;   6.17
 11484; 37.039760;  8.460054; 4.30;-0.053;   41.72;  -14.46;  18.53
 11783; 38.021785;-15.244677; 4.74; 0.454;  -80.92; -146.84;  38.73
 12387; 39.870653;  0.328511; 4.08;-0.212;   14.44;   -2.53;   5.04
 12413; 39.949969;-42.891670; 4.74; 0.061;   92.11;  -15.07;  25.15
 12486; 40.166810;-39.855376; 4.11; 1.006;  135.17;  -27.34;  22.42
 12706; 40.825162;  3.235819; 3.47; 0.093; -146.43; -145.27;  39.78
 12719; 40.862970; 27.707147; 4.65;-0.122;    3.51;   -9.97;   8.82
 12770; 41.030625;-13.858696; 4.24;-0.122;   -7.58;   -8.40;   7.40
 12777; 41.049943; 49.228448; 4.10; 0.514;  334.03;  -89.96;  89.03
 12828; 41.235593; 10.114146; 4.27; 0.311;  285.17;  -30.40;  38.71
 12843; 41.275771;-18.572563; 4.47; 0.481;  330.93;   36.28;  71.56
 13061; 41.977253; 29.247118; 4.52; 1.112;  148.42; -125.76;  18.06
 13147; 42.272581;-32.405898; 4.45; 0.981;   86.96;  158.96;  19.31
 13209; 42.495968; 27.260507; 3.61;-0.100;   65.47; -116.59;  20.45
 13254; 42.646082; 38.318644; 4.22; 0.343;  195.68; -108.92;  25.54
 13268; 42.674209; 55.895496; 3.77; 1.690;   16.64;  -13.76;   2.45
 13288; 42.759673;-21.004019; 4.76; 0.906;  -39.00;  -16.63;  17.85
 13328; 42.878490; 35.059741; 4.56; 1.554;    9.29;  -63.02;   7.97
 13531; 43.564419; 52.762479; 3.93; 0.758;   -1.99;   -4.53;  13.15
 13701; 44.106874; -8.898144; 3.89; 1.088;   77.73; -219.99;  24.49
 13847; 44.565311;-40.304672; 2.88; 0.128;  -53.53;   25.71;  20.22
 13879; 44.690292; 39.662729; 4.68; 0.065;   25.88;  -40.67;  10.02
 13914; 44.803024; 21.340429; 4.63; 0.048;  -13.04;   -6.55;  11.15
 13954; 44.928757;  8.907365; 4.71;-0.109;    9.22;  -14.92;   7.69
 14135; 45.569884;  4.089734; 2.54; 1.630;  -11.81;  -78.76;  14.82
 14146; 45.597917;-23.624472; 4.08; 0.163; -145.96;  -55.76;  37.85
 14328; 46.199128; 53.506440; 2.91; 0.716;    0.50;   -4.19;  12.72
 14354; 46.294139; 38.840274; 3.32; 1.528;  128.69; -106.61;  10.03
 14382; 46.385047; 56.705719; 4.77; 1.018;  -13.49;   70.34;  15.95
 14576; 47.042215; 40.955648; 2.09;-0.003;    2.39;   -1.44;  35.14
 14632; 47.266749; 49.613278; 4.05; 0.595; 1262.29;  -91.53;  94.93
 14668; 47.374048; 44.857544; 3.79; 0.980;  173.01; -142.05;  29.05
 14817; 47.822423; 39.611582; 4.61; 1.115;  -26.21;    4.78;  10.69
 14838; 47.907356; 19.726677; 4.35; 1.033;  154.61;   -8.39;  19.44
 14879; 48.018866;-28.987618; 3.80; 0.543;  371.49;  612.26;  70.86
 15474; 49.879175;-21.757864; 3.70; 1.614;   51.35;   32.20;  12.63
 15510; 49.981878;-43.069783; 4.26; 0.711; 3038.08;  726.34; 165.02
 15549; 50.084837; 29.048458; 4.47; 1.555;   -8.21;  -16.42;   5.09
 15863; 51.080710; 49.861180; 1.79; 0.481;   24.11;  -26.01;   5.51
 15900; 51.203307;  9.028870; 3.61; 0.887;  -74.25;  -80.31;  15.42
 16083; 51.792303;  9.732680; 3.73;-0.082;   53.61;  -38.12;  14.68
 16228; 52.267223; 59.940330; 4.21; 0.419;   -0.82;   -1.85;   0.76
 16244; 52.341876; 49.508948; 4.67;-0.096;   22.16;  -29.18;   5.84
 16281; 52.478099; 58.878750; 4.55; 0.489;   -1.94;   -1.14;   1.32
 16335; 52.643682; 47.995216; 4.36; 1.367;    1.56;   18.13;   9.23
 16341; 52.654407; -5.075145; 4.74;-0.092;   13.31;    7.34;   8.57
 16369; 52.718243; 12.936678; 4.14; 1.112;   18.94;   -1.55;   9.05
 16537; 53.232684; -9.458262; 3.72; 0.881; -976.44;   17.97; 310.75
 16611; 53.446984;-21.632883; 4.26;-0.106;   44.91;  -27.47;  11.02
 16826; 54.122412; 48.192634; 4.32;-0.058;   21.41;  -27.58;   4.66
 16852; 54.218263;  0.401662; 4.29; 0.575; -232.69; -482.00;  72.89
 16870; 54.273668;-40.274545; 4.57; 1.023;    2.77;  -14.23;  14.88
 17351; 55.708564;-37.313518; 4.59; 1.191;  -90.81;  -71.42;  18.34
 17358; 55.731262; 47.787551; 3.01;-0.125;   23.83;  -41.93;   6.18
 17378; 55.812091; -9.763395; 3.52; 0.915;  -91.71;  742.23; 110.58
 17448; 56.079717; 32.288248; 3.84; 0.022;    8.11;  -10.32;   2.21
 17499; 56.218905; 24.113339; 3.72;-0.105;   21.55;  -44.92;   8.80
 17529; 56.298466; 42.578549; 3.77; 0.425;  -14.59;    1.75;   5.86
 17531; 56.302060; 24.467278; 4.30;-0.110;   19.35;  -41.63;   8.75
 17573; 56.456694; 24.367749; 3.87;-0.063;   21.09;  -45.03;   9.06
 17593; 56.535565;-12.101589; 4.43; 1.604;   55.59;   60.03;   6.56
 17608; 56.581558; 23.948358; 4.14;-0.051;   21.17;  -42.67;   9.08
 17651; 56.712031;-23.249723; 4.22; 0.434; -159.86; -528.54;  55.79
 17702; 56.871152; 24.105137; 2.85;-0.086;   19.35;  -43.11;   8.87
 17797; 57.149495;-37.620155; 4.30;-0.038;   75.83;  -10.69;  20.23
 17847; 57.290594; 24.053415; 3.62;-0.070;   17.77;  -44.70;   8.57
 17874; 57.363521;-36.200250; 4.17; 0.927;  -49.42;  -56.63;  15.54
 18216; 58.427928;-24.612230; 4.64;-0.136;   30.93;   -7.18;   8.46
 18246; 58.533006; 31.883636; 2.84; 0.271;    4.41;   -9.15;   3.32
 18255; 58.572925; -2.954730; 4.46; 0.672;   26.42;    1.49;   9.46
 18532; 59.463461; 40.010215; 2.90;-0.199;   12.61;  -24.06;   6.06
 18543; 59.507360;-13.508515; 2.97; 1.588;   60.51; -111.34;  14.75
 18614; 59.741255; 35.791033; 3.98; 0.016;    1.92;    2.30;   1.84
 18673; 59.981181;-24.016215; 4.62;-0.121;   11.41;   17.08;   9.85
 18724; 60.170066; 12.490347; 3.41;-0.099;   -8.15;  -11.98;   8.81
 18907; 60.789084;  5.989305; 3.91; 0.032;    5.52;   -1.63;  25.24
 19038; 61.173815; 22.081926; 4.36; 1.064;   91.73;  -58.52;  18.04
 19167; 61.646014; 50.351262; 4.25;-0.011;  -13.03;  -36.37;   9.41
 19343; 62.165378; 47.712513; 3.96;-0.025;   20.19;  -33.26;   5.89
 19587; 62.966418; -6.837581; 4.04; 0.327;   11.92;   81.28;  25.98
 19747; 63.500476;-42.294368; 3.85; 1.085;   41.89; -203.65;  27.85
 19811; 63.722157; 40.483671; 4.67; 1.007;    9.72;  -21.58;   5.20
 19812; 63.724426; 48.409331; 4.12; 0.935;    5.04;  -17.35;   4.51
 19849; 63.818001; -7.652871; 4.43; 0.820;-2239.33;-3419.86; 198.24
 19860; 63.883572;  8.892357; 4.27;-0.054;   20.39;  -21.75;   7.50
 19893; 64.006607;-51.486648; 4.26; 0.312;  100.57;  184.23;  49.26
 19921; 64.120953;-59.302156; 4.44; 1.078;  -47.99; -167.81;  54.84
 20042; 64.473593;-33.798348; 3.55;-0.108;   62.31;   -6.75;  18.27
 20070; 64.560908; 50.295502; 4.60; 0.043;   46.59;  -56.43;  10.25
 20205; 64.948349; 15.627642; 3.65; 0.981;  115.29;  -23.86;  21.17
 20455; 65.733722; 17.542514; 3.77; 0.983;  107.75;  -28.84;  21.29
 20535; 66.009239;-34.016846; 3.97; 1.468;   73.77;   57.57;  11.95
 20635; 66.342355; 22.293874; 4.21; 0.136;  105.49;  -44.14;  21.27
 20648; 66.372432; 17.927910; 4.30; 0.049;  108.26;  -32.47;  22.05
 20711; 66.576931; 22.813583; 4.28; 0.263;  108.66;  -45.83;  21.07
 20713; 66.586422; 15.618265; 4.48; 0.262;  114.66;  -33.30;  20.86
 20732; 66.651551; 14.713782; 4.69; 0.979;   -7.57;  -31.15;   7.17
 20885; 67.143733; 15.962181; 3.84; 0.952;  104.76;  -15.01;  20.66
 20889; 67.154165; 19.180432; 3.53; 1.014;  107.23;  -36.77;  21.04
 20894; 67.165587; 15.870883; 3.40; 0.179;  108.66;  -26.39;  21.89
 21029; 67.640137; 16.194014; 4.78; 0.170;  104.98;  -25.14;  22.54
 21248; 68.377303;-29.766492; 4.49; 0.972; -114.35; -271.56;  26.22
 21273; 68.462157; 14.844424; 4.65; 0.255;  103.69;  -25.94;  21.39
 21281; 68.499073;-55.044975; 3.30;-0.079;   58.06;   12.73;  18.56
 21393; 68.887661;-30.562341; 3.81; 0.957;  -48.92;  -12.75;  15.62
 21402; 68.913584; 10.160790; 4.25; 0.184;   44.89;  -52.42;  21.68
 21421; 68.980161; 16.509301; 0.87; 1.538;   62.78; -189.36;  50.09
 21444; 69.079757; -3.352459; 3.93;-0.210;    1.73;   -4.54;   5.56
 21476; 69.172623; 41.264808; 4.25; 1.171;   -5.42;  -19.19;   5.08
 21589; 69.539427; 12.510838; 4.27; 0.122;  101.73;  -14.90;  21.79
 21594; 69.545100;-14.304020; 3.86; 1.082;  -77.86; -178.06;  29.84
 21683; 69.818758; 15.917977; 4.67; 0.147;   82.40;  -19.53;  20.51
 21763; 70.110464;-19.671493; 4.32; 1.599;   28.21;  -97.09;   9.03
 21770; 70.140469;-41.863753; 4.44; 0.342; -141.18;  -74.95;  49.67
 21881; 70.561257; 22.956926; 4.27;-0.112;   -2.84;  -20.33;   8.14
 22109; 71.375630; -3.254657; 4.01;-0.148;   17.27;  -13.51;   6.13
 22449; 72.460044;  6.961276; 3.19; 0.484;  463.44;   11.62; 124.60
 22509; 72.653007;  8.900176; 4.35; 0.010;   -0.87;  -31.57;  16.84
 22549; 72.801516;  5.605104; 3.68;-0.157;   -3.62;    1.03;   2.59
 22667; 73.133176; 14.250642; 4.71; 1.773;   -2.62;  -56.13;   6.02
 22678; 73.158251; 36.703187; 4.79; 1.414;  -25.97;   -3.89;   5.81
 22701; 73.223624; -5.452695; 4.36; 0.257;  -18.01;   25.03;  14.39
 22797; 73.562902;  2.440672; 3.71;-0.179;    1.43;    0.23;   2.43
 22845; 73.723866; 10.150833; 4.64; 0.085;   40.08; -128.37;  27.04
 22957; 74.092810; 13.514466; 4.06; 1.158;  -77.77;  -45.97;  19.26
 23015; 74.248412; 33.166090; 2.69; 1.490;    3.63;  -18.54;   6.37
 23040; 74.321652; 53.752101; 4.43;-0.017;  -24.17;    7.53;   8.68
 23123; 74.637091;  1.714016; 4.47; 1.369;   -1.59;   -7.93;   3.42
 23231; 74.982238;-12.537416; 4.78; 0.267;   40.37;  -86.89;  11.21
 23416; 75.492226; 43.823308; 3.03; 0.537;    0.18;   -2.31;   1.60
 23453; 75.619529; 41.075837; 3.69; 1.154;    8.88;  -21.43;   4.14
 23497; 75.773947; 21.589962; 4.62; 0.155;   68.94;  -40.85;  20.01
 23595; 76.101676;-35.482978; 4.55; 1.177;  126.17;  -44.36;  17.63
 23607; 76.142290; 15.404105; 4.65;-0.064;   18.40;  -30.99;   8.15
 23685; 76.365268;-22.371033; 3.19; 1.460;   19.27;  -72.35;  14.39
 23693; 76.377732;-57.472704; 4.71; 0.526;  -31.87;  117.42;  85.83
 23767; 76.628720; 41.234474; 3.18;-0.148;   30.60;  -68.41;  14.87
 23875; 76.962438; -5.086446; 2.78; 0.161;  -83.39;  -75.44;  36.71
 23972; 77.286596; -8.754081; 4.25;-0.187;    0.00;   -2.01;   1.86
 24244; 78.074593;-11.869219; 4.45;-0.099;   24.95;  -31.22;  13.53
 24305; 78.232920;-16.205468; 3.29;-0.110;   45.66;  -16.13;  17.69
 24327; 78.307824;-12.941292; 4.36;-0.094;  -12.22;   -1.32;   5.83
 24331; 78.322839;  2.861265; 4.46; 1.166;    3.05;    4.94;   9.49
 24436; 78.634468; -8.201641; 0.18;-0.030;    1.87;   -0.56;   4.22
 24608; 79.172329; 45.997991; 0.08; 0.795;   75.52; -427.13;  77.29
 24674; 79.401625; -6.844409; 3.59;-0.115;  -15.31;   -9.57;   5.88
 24727; 79.544037; 33.371613; 4.54; 1.252;   29.86; -160.98;  13.92
 24813; 79.785310; 40.099051; 4.69; 0.630;  519.39; -664.79;  79.08
 24845; 79.893852;-13.176789; 4.29;-0.235;   -2.49;   -4.74;   3.03
 24927; 80.112160;-21.239763; 4.70;-0.048;   10.78;   -9.91;   7.11
 25044; 80.440616; -0.382465; 4.72;-0.168;    0.45;    1.67;   2.53
 25247; 80.986784; -7.808065; 4.13; 0.943;  -13.91;  -44.80;  18.71
 25281; 81.119236; -2.397146; 3.35;-0.240;   -0.54;   -3.21;   3.62
 25336; 81.282763;  6.349702; 1.64;-0.224;   -8.75;  -13.28;  13.42
 25428; 81.572972; 28.607450; 1.65;-0.130;   23.28; -174.22;  24.89
 25473; 81.709285;  3.095674; 4.59;-0.199;    0.34;   -1.11;   2.30
 25606; 82.061347;-20.759441; 2.81; 0.807;   -5.03;  -85.92;  20.49
 25737; 82.433257; -1.092239; 4.71; 1.592;    0.19;  -26.08;   7.15
 25813; 82.696049;  5.948139; 4.20;-0.143;    6.57;  -32.45;  11.30
 25859; 82.803149;-35.470519; 3.86; 1.130;   28.36;  -34.11;  11.77
 25923; 82.982750; -7.301537; 4.62;-0.261;   -0.54;   -4.44;   2.11
 25930; 83.001670; -0.299092; 2.25;-0.175;    1.67;    0.56;   3.56
 25945; 83.053129; 18.594234; 4.32; 2.060;   -0.34;   -4.51;   1.70
 25984; 83.181971; 32.192022; 4.71; 0.281;   -1.81;   -4.00;   0.80
 25985; 83.182566;-17.822289; 2.58; 0.211;    3.27;    1.54;   2.54
 26176; 83.705155;  9.489579; 4.39;-0.157;   -1.24;   -2.49;   3.31
 26199; 83.761173; -6.002027; 4.78;-0.248;    0.59;    0.68;   1.75
 26207; 83.784488;  9.934158; 3.39;-0.160;   -1.03;   -1.86;   3.09
 26237; 83.846517; -4.838358; 4.58;-0.183;    4.29;   -7.15;   4.15
 26241; 83.858260; -5.909901; 2.75;-0.210;    2.27;   -0.62;   2.46
 26311; 84.053389; -1.201920; 1.69;-0.184;    1.49;   -1.06;   2.43
 26366; 84.226616;  9.290673; 4.09; 0.951;   96.84; -304.18;  28.10
 26451; 84.411191; 21.142549; 2.97;-0.148;    2.39;  -18.04;   7.82
 26549; 84.686533; -2.600069; 3.77;-0.190;    4.61;   -0.40;   2.84
 26563; 84.721179; -7.212829; 4.77; 0.139;  -15.00;  -49.55;  21.24
 26594; 84.796443;  4.121467; 4.50;-0.098;    0.76;    0.07;   2.01
 26634; 84.912249;-34.074108; 2.65;-0.120;   -0.10;  -24.05;  12.16
 26727; 85.189696; -1.942572; 1.74;-0.199;    3.99;    2.54;   3.99
 27072; 86.115793;-22.448382; 3.59; 0.481; -292.42; -368.45; 111.49
 27288; 86.738920;-14.821950; 3.55; 0.104;  -14.84;   -1.18;  46.47
 27321; 86.821199;-51.066514; 3.85; 0.171;    4.65;   81.96;  51.87
 27366; 86.939120; -9.669605; 2.07;-0.168;    1.55;   -1.20;   4.52
 27483; 87.293492; 39.181071; 4.51; 0.949;  -28.42;  -25.55;  15.34
 27530; 87.456926;-56.166663; 4.50; 1.075;   81.61;  -71.77;  18.78
 27628; 87.739970;-35.768309; 3.12; 1.146;   55.74;  404.68;  37.94
 27639; 87.760156; 37.305573; 4.72; 1.621;   36.96;  -44.76;   6.86
 27654; 87.830399;-20.879089; 3.76; 0.984;  228.96; -647.96;  29.05
 27673; 87.872496; 39.148480; 3.97; 1.132;    8.48;    0.39;  15.17
 27750; 88.110161;  1.855134; 4.76; 1.382;   -7.09;   -9.91;   2.93
 27830; 88.331859; 27.612262; 4.56;-0.008;    3.82;   -9.58;   7.45
 27913; 88.595760; 20.276175; 4.39; 0.594; -163.17;  -98.92; 115.43
 27989; 88.792939;  7.407063; 0.45; 1.500;   27.33;   10.86;   7.63
 28103; 89.101220;-14.167700; 3.71; 0.337;  -42.23;  139.02;  66.47
 28199; 89.384208;-35.283280; 4.36;-0.165;   -2.65;   11.19;   3.82
 28328; 89.786689;-42.815135; 3.96; 1.146;   18.53;  -11.45;   6.14
 28358; 89.881819; 54.284656; 3.72; 1.010;   86.31; -134.05;  23.22
 28360; 89.882179; 44.947433; 1.90; 0.077;  -56.41;   -0.88;  39.72
 28380; 89.930287; 37.212585; 2.65;-0.083;   42.09;  -73.61;  18.83
 28404; 89.983747; 45.936736; 4.30; 1.701;   -2.42;   -7.32;   3.88
 28413; 90.013956; -3.074254; 4.53; 1.202;    6.87;  -72.71;   7.77
 28614; 90.595828;  9.647277; 4.12; 0.170;   14.19;  -37.44;  21.49
 28716; 90.979937; 20.138452; 4.64; 0.236;    2.19;   -2.81;   0.10
 28734; 91.030062; 23.263341; 4.16; 0.835;   -2.60; -119.72;  21.64
 28910; 91.538849;-14.935254; 4.67; 0.046;  -16.87;   13.16;  19.14
 29038; 91.893020; 14.768472; 4.42;-0.164;    4.95;  -21.18;   6.10
 29276; 92.574621;-54.968645; 4.72;-0.229;   -4.11;    6.53;   1.97
 29426; 92.984983; 14.208765; 4.45;-0.180;   -1.59;  -20.23;   5.14
 29651; 93.713887; -6.274776; 3.99; 1.319;   -6.18;  -20.06;   5.06
 29655; 93.719405; 22.506799; 3.31; 1.600;  -62.53;  -10.24;   9.34
 29696; 93.844538; 29.498076; 4.32; 1.021;  -70.90; -261.73;  19.31
 29807; 94.138065;-35.140519; 4.37; 0.978;    0.39;   87.58;  17.83
