#
# VizieR Astronomical Server: webviz.u-strasbg.fr 2008-12-02T09:22:15
# (replaces the 'Astrores' format originally described at
# http://vizier.u-strasbg.fr/doc/astrores.htx)
# In case of problem, please report to: question@simbad.u-strasbg.fr
#
##Coosys J2000: eq_FK5 J2000
#INFO -ref=VOTx30785
#INFO -out.max=50000
#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys J2000_1991.250: eq_FK5 J2000
#Table I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column HIP (I6) Identifier (HIP number) (H1) [ucd=meta.id;meta.main]
#Column _RAJ2000 (F10.6) Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account (computed by VizieR, not part of the original data) [ucd=pos.eq.ra;meta.main]
#Column _DEJ2000 (F10.6) Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account (computed by VizieR, not part of the original data) [ucd=pos.eq.dec;meta.main]
#Column RA(ICRS) (F12.8) *? alpha, degrees (ICRS, Epoch=J1991.25) (H8) [ucd=pos.eq.ra;meta.main]
#Column DE(ICRS) (F12.8) *? delta, degrees (ICRS, Epoch=J1991.25) (H9) [ucd=pos.eq.dec;meta.main]
#Column Vmag (F5.2) ? Magnitude in Johnson V (H5) [ucd=phot.mag;em.opt.V]
#Column B-V  (F6.3) ? Johnson B-V colour (H37) [ucd=phot.color;em.opt.B;em.opt.V]
#Column pmRA (F8.2) Proper motion mu_alpha.cos(delta), ICRS(H12) {\em(for J1991.25 epoch)} [ucd=pos.pm;pos.eq.ra]
#Column pmDE (F8.2) ? Proper motion mu_delta, ICRS (H13) {\em(for J1991.25 epoch)} [ucd=pos.pm;pos.eq.dec]
#Column Plx  (F7.2) ? Trigonometric parallax (H11) [ucd=pos.parallax.trig]
# HIP;_RAJ2000;_DEJ2000;RA(ICRS);DE(ICRS);Vmag;B-V;pmRA;pmDE;Plx
# ;deg;deg;deg;deg;mag;mag;mas/yr;mas/yr;mas
#------;----------;----------;------------;------------;-----;------;--------;--------;-------
  5434; 17.375523; 47.241792; 17.37550908; 47.24182410; 4.26; 0.012;    3.81;  -13.02;   4.43
  5447; 17.433015; 35.620558; 17.43248991; 35.62083048; 2.07; 1.576;  175.59; -112.23;  16.36
  5542; 17.775675; 55.149901; 17.77471116; 55.14994765; 4.34; 0.170;  226.62;  -19.34;  23.73
  5571; 17.863417; 21.034650; 17.86330901; 21.03467568; 4.66; 1.024;   41.66;  -10.55;   7.42
  5586; 17.915153; 30.089638; 17.91494471; 30.08972962; 4.51; 1.092;   74.29;  -37.61;  20.11
  5742; 18.437280; 24.583713; 18.43723014; 24.58376482; 4.67; 1.047;   18.58;  -21.26;   8.64
  5862; 18.796338;-45.531664; 18.79403213;-45.53209717; 4.97; 0.571;  664.47;  178.12;  66.43
  5896; 18.942337;-68.875927; 18.93956391;-68.87623708; 4.25; 0.480;  411.11;  127.43;  48.94
  6193; 19.866646; 27.264059; 19.86657455; 27.26408682; 4.74; 0.032;   26.21;  -11.62;  10.49
  6242; 20.020484; 58.231611; 20.02049027; 58.23161610; 4.95; 0.683;   -1.31;   -2.19;   1.40
  6411; 20.585083; 45.528778; 20.58497087; 45.52875660; 4.87; 1.077;   32.21;    8.73;  16.68
  6537; 21.005854; -8.183257; 21.00604671; -8.18275372; 3.60; 1.065;  -78.38; -206.88;  28.48
  6670; 21.405146;-14.598796; 21.40503869;-14.59875437; 4.90; 1.231;   42.54;  -17.25;  11.31
  6686; 21.453968; 60.235283; 21.45251267; 60.23540347; 2.66; 0.160;  297.24;  -49.49;  32.81
  6692; 21.483424; 68.130013; 21.48293404; 68.12994739; 4.72; 1.047;   75.07;   26.82;  16.89
  6813; 21.914091; 45.406687; 21.91285470; 45.40695287; 4.83; 0.421;  356.99; -109.32;  35.33
  6867; 22.091363;-43.318234; 22.09142360;-43.31772906; 3.41; 1.542;  -18.21; -207.71;  13.94
  7007; 22.546313;  6.143820; 22.54559597;  6.14393314; 4.84; 1.372;  293.23;  -46.36;   9.05
  7083; 22.812936;-49.072702; 22.81242306;-49.07307701; 3.93; 0.972;  138.22;  154.20;  22.15
  7097; 22.870873; 15.345823; 22.87080776; 15.34583101; 3.62; 0.974;   25.73;   -3.29;  11.09
  7294; 23.482820; 59.232040; 23.48302496; 59.23209665; 4.68; 0.991;  -43.06;  -23.18;  15.96
  7513; 24.199345; 41.405459; 24.19990413; 41.40638491; 4.10; 0.536; -172.57; -381.01;  74.25
  7588; 24.428527;-57.236757; 24.42813204;-57.23666007; 0.45;-0.158;   88.02;  -40.08;  22.68
  7607; 24.498150; 48.628213; 24.49792651; 48.62848641; 3.59; 1.275;   60.90; -112.42;  18.76
  7818; 25.145071; 40.577049; 25.14501739; 40.57710624; 4.96;-0.068;   16.67;  -23.50;   4.79
  7884; 25.357893;  5.487613; 25.35794814;  5.48760445; 4.45; 1.347;  -22.73;    3.61;   8.86
  7918; 25.446429; 42.613369; 25.44381547; 42.61380692; 4.96; 0.618;  791.35; -180.16;  79.09
  7999; 25.681292; -3.690200; 25.68132047; -3.69011692; 4.98; 1.378;  -11.67;  -34.38;   2.71
  8068; 25.915156; 50.688732; 25.91506370; 50.68876550; 4.01;-0.098;   24.08;  -13.59;   4.55
  8102; 26.017012;-15.937480; 26.02136441;-15.93955597; 3.49; 0.727;-1721.82;  854.07; 274.17
  8198; 26.348461;  9.157736; 26.34828629;  9.15764102; 4.26; 0.942;   70.82;   38.99;  12.63
  8497; 27.396261;-10.686410; 27.39662961;-10.68618074; 4.66; 0.333; -148.90;  -94.47;  42.35
  8645; 27.865140;-10.335038; 27.86504416;-10.33494526; 3.74; 1.136;   38.78;  -38.04;  12.59
  8796; 28.270450; 29.578829; 28.27041595; 29.57939727; 3.42; 0.488;   12.02; -233.69;  50.87
  8832; 28.382560; 19.293852; 28.38235506; 19.29409264; 3.88;-0.047;   79.43;  -99.10;  15.96
  8833; 28.388960;  3.187537; 28.38890233;  3.18747844; 4.61; 0.928;   23.69;   23.90;  17.11
  8837; 28.411424;-46.302669; 28.41174872;-46.30244631; 4.39; 1.597;  -92.38;  -91.46;  10.15
  8886; 28.598856; 63.670102; 28.59868107; 63.67014686; 3.35;-0.150;   31.98;  -18.66;   7.38
  8903; 28.660038; 20.808035; 28.65978771; 20.80829949; 2.64; 0.165;   96.32; -108.80;  54.74
  8928; 28.733881;-67.647303; 28.73339519;-67.64748114; 4.68; 0.931;   76.00;   73.17;  15.04
  9007; 28.989468;-51.608896; 28.98680207;-51.60958673; 3.69; 0.844;  681.24;  284.23;  57.19
  9009; 29.000108; 68.685242; 29.00001575; 68.68526545; 4.97;-0.084;   13.82;   -9.73;   4.65
  9061; 29.167492;-22.526785; 29.16732782;-22.52671153; 4.92; 1.434;   62.22;  -30.19;   8.18
  9095; 29.292002;-47.385277; 29.29163705;-47.38529869; 4.82; 0.864;  101.65;    8.79;  12.22
  9153; 29.482155; 23.596061; 29.48239763; 23.59609610; 4.79; 0.290;  -91.51;  -14.45;  24.49
  9236; 29.692473;-61.569859; 29.69113269;-61.56992444; 2.86; 0.290;  262.54;   26.88;  45.74
  9347; 30.001283;-21.077832; 30.00093670;-21.07777193; 3.99; 1.554;  133.01;  -24.53;  10.84
  9487; 30.511750;  2.763759; 30.51166929;  2.76376048; 3.82; 0.024;   33.29;   -0.42;  23.45
  9505; 30.575451; 54.487541; 30.57530917; 54.48754946; 4.99;-0.071;   33.79;   -3.40;   4.41
  9640; 30.974804; 42.329725; 30.97466283; 42.32984832; 2.10; 1.370;   43.08;  -50.85;   9.19
  9677; 31.122660;-29.296819; 31.12262534;-29.29683966; 4.68;-0.156;   12.56;    8.54;   9.03
  9884; 31.793363; 23.462423; 31.79285757; 23.46277743; 2.01; 1.151;  190.73; -145.77;  49.48
  9977; 32.121916; 37.859077; 32.12144102; 37.85918337; 4.78; 0.120;  154.22;  -43.64;  16.48
 10053; 32.355568; 25.939892; 32.35535861; 25.93997268; 4.98; 0.339;   77.50;  -33.10;  10.19
 10064; 32.385945; 34.987297; 32.38550383; 34.98739204; 3.00; 0.140;  148.78;  -39.13;  26.24
 10280; 33.092834; 30.303067; 33.09301632; 30.30321507; 4.94; 0.770;  -64.59;  -61.07;  10.68
 10324; 33.249981;  8.846717; 33.25004577;  8.84675230; 4.36; 0.878;  -26.23;  -14.40;   9.01
 10340; 33.305517; 44.231652; 33.30558667; 44.23168903; 4.84; 1.476;  -20.58;  -15.25;   5.86
 10602; 34.127439;-51.512165; 34.12708452;-51.51211145; 3.56;-0.120;   90.75;  -21.90;  21.06
 10644; 34.263459; 34.224231; 34.26007346; 34.22482985; 4.84; 0.607; 1151.61; -246.32;  92.20
 10670; 34.328614; 33.847194; 34.32848216; 33.84732099; 4.03; 0.019;   44.91;  -52.42;  27.73
 11001; 35.437261;-68.659418; 35.43759585;-68.65942390; 4.08; 0.034;  -50.07;    2.38;  24.10
 11313; 36.405928; 50.278631; 36.40583743; 50.27866588; 4.73; 1.532;   23.79;  -14.35;   9.46
 11345; 36.487522;-12.290480; 36.48755111;-12.29045200; 4.88;-0.027;  -11.71;  -11.37;   6.17
 11407; 36.746343;-47.703840; 36.74627081;-47.70382692; 4.24;-0.136;   19.97;   -5.44;   6.17
 11484; 37.039760;  8.460054; 37.03965786;  8.46008870; 4.30;-0.053;   41.72;  -14.46;  18.53
 11569; 37.266441; 67.402474; 37.26661741; 67.40238385; 4.46; 0.153;  -27.92;   37.06;  23.04
 11783; 38.021785;-15.244677; 38.02198846;-15.24431990; 4.74; 0.454;  -80.92; -146.84;  38.73
 11918; 38.461267;-28.232344; 38.46130170;-28.23234010; 4.96;-0.050;  -12.69;   -1.40;   7.19
 12093; 38.968634;  5.593246; 38.96870420;  5.59330163; 4.87; 0.880;  -28.89;  -22.76;   8.77
 12387; 39.870653;  0.328511; 39.87061789;  0.32851680; 4.08;-0.212;   14.44;   -2.53;   5.04
 12390; 39.890976;-11.872156; 39.89054885;-11.87158159; 4.83; 0.447;  172.01; -236.31;  36.99
 12394; 39.897339;-68.266946; 39.89676530;-68.26694760; 4.12;-0.061;   87.40;    0.56;  21.27
 12413; 39.949969;-42.891670; 39.94966387;-42.89163328; 4.74; 0.061;   92.11;  -15.07;  25.15
 12486; 40.166810;-39.855376; 40.16638213;-39.85530905; 4.11; 1.006;  135.17;  -27.34;  22.42
 12623; 40.562150; 40.193944; 40.56220350; 40.19438688; 4.91; 0.582;  -16.84; -182.29;  40.52
 12706; 40.825162;  3.235819; 40.82551897;  3.23617162; 3.47; 0.093; -146.43; -145.27;  39.78
 12719; 40.862970; 27.707147; 40.86296031; 27.70717078; 4.65;-0.122;    3.51;   -9.97;   8.82
 12770; 41.030625;-13.858696; 41.03064356;-13.85867594; 4.24;-0.122;   -7.58;   -8.40;   7.40
 12777; 41.049943; 49.228448; 41.04869991; 49.22866639; 4.10; 0.514;  334.03;  -89.96;  89.03
 12828; 41.235593; 10.114146; 41.23488901; 10.11421979; 4.27; 0.311;  285.17;  -30.40;  38.71
 12843; 41.275771;-18.572563; 41.27492276;-18.57265077; 4.47; 0.481;  330.93;   36.28;  71.56
 12876; 41.385977;-67.616617; 41.38555249;-67.61672400; 4.83; 0.058;   66.50;   44.02;  11.06
 13061; 41.977253; 29.247118; 41.97683942; 29.24742385; 4.52; 1.112;  148.42; -125.76;  18.06
 13147; 42.272581;-32.405898; 42.27233113;-32.40628403; 4.45; 0.981;   86.96;  158.96;  19.31
 13209; 42.495968; 27.260507; 42.49578911; 27.26079044; 3.61;-0.100;   65.47; -116.59;  20.45
 13254; 42.646082; 38.318644; 42.64547584; 38.31890838; 4.22; 0.343;  195.68; -108.92;  25.54
 13268; 42.674209; 55.895496; 42.67413655; 55.89552955; 3.77; 1.690;   16.64;  -13.76;   2.45
 13288; 42.759673;-21.004019; 42.75977464;-21.00397890; 4.76; 0.906;  -39.00;  -16.63;  17.85
 13328; 42.878490; 35.059741; 42.87846216; 35.05989415; 4.56; 1.554;    9.29;  -63.02;   7.97
 13531; 43.564419; 52.762479; 43.56442700; 52.76248991; 3.93; 0.758;   -1.99;   -4.53;  13.15
 13701; 44.106874; -8.898144; 44.10668245; -8.89760976; 3.89; 1.088;   77.73; -219.99;  24.49
 13847; 44.565311;-40.304672; 44.56548180;-40.30473491; 2.88; 0.128;  -53.53;   25.71;  20.22
 13879; 44.690292; 39.662729; 44.69021034; 39.66282739; 4.68; 0.065;   25.88;  -40.67;  10.02
 13884; 44.699153;-64.071284; 44.69902505;-64.07129717; 4.98; 0.126;   22.96;    5.39;  10.40
 13905; 44.765319; 35.183128; 44.76545740; 35.18311415; 4.94; 1.235;  -46.49;    5.81;   9.31
 13914; 44.803024; 21.340429; 44.80305773; 21.34044477; 4.63; 0.048;  -13.04;   -6.55;  11.15
 13954; 44.928757;  8.907365; 44.92873469;  8.90740111; 4.71;-0.109;    9.22;  -14.92;   7.69
 14135; 45.569884;  4.089734; 45.56991279;  4.08992539; 2.54; 1.630;  -11.81;  -78.76;  14.82
 14146; 45.597917;-23.624472; 45.59830468;-23.62433613; 4.08; 0.163; -145.96;  -55.76;  37.85
 14328; 46.199128; 53.506440; 46.19912598; 53.50645031; 2.91; 0.716;    0.50;   -4.19;  12.72
 14354; 46.294139; 38.840274; 46.29373754; 38.84053298; 3.32; 1.528;  128.69; -106.61;  10.03
 14382; 46.385047; 56.705719; 46.38510717; 56.70554810; 4.77; 1.018;  -13.49;   70.34;  15.95
 14576; 47.042215; 40.955648; 47.04220716; 40.95565120; 2.09;-0.003;    2.39;   -1.44;  35.14
 14632; 47.266749; 49.613278; 47.26201363; 49.61350009; 4.05; 0.595; 1262.29;  -91.53;  94.93
 14668; 47.374048; 44.857544; 47.37345463; 44.85788896; 3.79; 0.980;  173.01; -142.05;  29.05
 14817; 47.822423; 39.611582; 47.82250605; 39.61157075; 4.61; 1.115;  -26.21;    4.78;  10.69
 14838; 47.907356; 19.726677; 47.90695691; 19.72669777; 4.35; 1.033;  154.61;   -8.39;  19.44
 14879; 48.018866;-28.987618; 48.01783332;-28.98910623; 3.80; 0.543;  371.49;  612.26;  70.86
 15110; 48.725400; 21.044441; 48.72547816; 21.04462873; 4.87;-0.007;  -29.83;  -77.15;   9.59
 15197; 48.958436; -8.819730; 48.95844499; -8.81984050; 4.80; 0.232;   -3.82;   45.52;  27.18
 15382; 49.592098;-22.511118; 49.59206509;-22.51114978; 4.86; 0.904;   12.55;   13.07;  12.79
 15416; 49.682604; 34.222653; 49.68259978; 34.22267370; 4.85; 1.491;    1.29;   -8.68;   2.21
 15457; 49.840400;  3.370198; 49.83974536;  3.36997055; 4.84; 0.681;  268.88;   93.53; 109.18
 15474; 49.879175;-21.757864; 49.87904033;-21.75794210; 3.70; 1.614;   51.35;   32.20;  12.63
 15510; 49.981878;-43.069783; 49.97177014;-43.07154929; 4.26; 0.711; 3038.08;  726.34; 165.02
 15520; 49.996970; 65.652292; 49.99690314; 65.65232717; 4.74;-0.108;   11.27;  -14.32;   4.07
 15549; 50.084837; 29.048458; 50.08485949; 29.04849835; 4.47; 1.555;   -8.21;  -16.42;   5.09
 15648; 50.360661; 43.329651; 50.36086309; 43.32965174; 4.96; 0.051;  -60.43;   -0.38;  21.00
 15863; 51.080710; 49.861180; 51.08061889; 49.86124281; 1.79; 0.481;   24.11;  -26.01;   5.51
 15900; 51.203307;  9.028870; 51.20349011;  9.02906504; 3.61; 0.887;  -74.25;  -80.31;  15.42
 16083; 51.792303;  9.732680; 51.79217049;  9.73277240; 3.73;-0.082;   53.61;  -38.12;  14.68
 16147; 52.012790; 49.062866; 52.01270885; 49.06293148; 4.99;-0.091;   21.94;  -26.83;   5.72
 16228; 52.267223; 59.940330; 52.26722684; 59.94033461; 4.21; 0.419;   -0.82;   -1.85;   0.76
 16244; 52.341876; 49.508948; 52.34179296; 49.50901919; 4.67;-0.096;   22.16;  -29.18;   5.84
 16245; 52.344490;-62.937527; 52.34244352;-62.93843436; 4.71; 0.410;  383.05;  373.11;  46.65
 16281; 52.478099; 58.878750; 52.47810837; 58.87875244; 4.55; 0.489;   -1.94;   -1.14;   1.32
 16335; 52.643682; 47.995216; 52.64367585; 47.99517199; 4.36; 1.367;    1.56;   18.13;   9.23
 16341; 52.654407; -5.075145; 52.65437447; -5.07516332; 4.74;-0.092;   13.31;    7.34;   8.57
 16369; 52.718243; 12.936678; 52.71819576; 12.93668186; 4.14; 1.112;   18.94;   -1.55;   9.05
 16537; 53.232684; -9.458262; 53.23509009; -9.45830584; 3.72; 0.881; -976.44;   17.97; 310.75
 16611; 53.446984;-21.632883; 53.44686638;-21.63281597; 4.26;-0.106;   44.91;  -27.47;  11.02
 16826; 54.122412; 48.192634; 54.12233383; 48.19270068; 4.32;-0.058;   21.41;  -27.58;   4.66
 16852; 54.218263;  0.401662; 54.21882896;  0.40283316; 4.29; 0.575; -232.69; -482.00;  72.89
 16870; 54.273668;-40.274545; 54.27365880;-40.27451075; 4.57; 1.023;    2.77;  -14.23;  14.88
 17304; 55.562095;-31.938361; 55.56207975;-31.93839587; 4.99;-0.159;    5.16;   14.23;   4.45
 17313; 55.594361; 33.965026; 55.59434812; 33.96503899; 4.97;-0.048;    4.39;   -5.21;   3.53
 17351; 55.708564;-37.313518; 55.70884185;-37.31334485; 4.59; 1.191;  -90.81;  -71.42;  18.34
 17358; 55.731262; 47.787551; 55.73117540; 47.78765330; 3.01;-0.125;   23.83;  -41.93;   6.18
 17378; 55.812091; -9.763395; 55.81231706; -9.76519868; 3.52; 0.915;  -91.71;  742.23; 110.58
 17440; 56.049906;-64.806903; 56.04814541;-64.80709398; 3.84; 1.133;  308.39;   78.72;  32.71
 17448; 56.079717; 32.288248; 56.07969347; 32.28827325; 3.84; 0.022;    8.11;  -10.32;   2.21
 17499; 56.218905; 24.113339; 56.21884811; 24.11344840; 3.72;-0.105;   21.55;  -44.92;   8.80
 17529; 56.298466; 42.578549; 56.29851422; 42.57854437; 3.77; 0.425;  -14.59;    1.75;   5.86
 17531; 56.302060; 24.467278; 56.30200876; 24.46737879; 4.30;-0.110;   19.35;  -41.63;   8.75
 17573; 56.456694; 24.367749; 56.45663804; 24.36785796; 3.87;-0.063;   21.09;  -45.03;   9.06
 17587; 56.509714; 63.345047; 56.50971937; 63.34506772; 4.78; 0.747;   -0.94;   -8.41;   4.08
 17593; 56.535565;-12.101589; 56.53542672;-12.10173530; 4.43; 1.604;   55.59;   60.03;   6.56
 17608; 56.581558; 23.948358; 56.58150135; 23.94846207; 4.14;-0.051;   21.17;  -42.67;   9.08
 17651; 56.712031;-23.249723; 56.71245432;-23.24843800; 4.22; 0.434; -159.86; -528.54;  55.79
 17702; 56.871152; 24.105137; 56.87110065; 24.10524193; 2.85;-0.086;   19.35;  -43.11;   8.87
 17797; 57.149495;-37.620155; 57.14926223;-37.62012878; 4.30;-0.038;   75.83;  -10.69;  20.23
 17847; 57.290594; 24.053415; 57.29054669; 24.05352412; 3.62;-0.070;   17.77;  -44.70;   8.57
 17874; 57.363521;-36.200250; 57.36367035;-36.20011250; 4.17; 0.927;  -49.42;  -56.63;  15.54
 17884; 57.380341; 65.525972; 57.38035594; 65.52600645; 4.39; 1.870;   -2.50;  -13.98;   3.38
 18216; 58.427928;-24.612230; 58.42784574;-24.61221253; 4.64;-0.136;   30.93;   -7.18;   8.46
 18246; 58.533006; 31.883636; 58.53299363; 31.88365776; 2.84; 0.271;    4.41;   -9.15;   3.32
 18255; 58.572925; -2.954730; 58.57286091; -2.95473348; 4.46; 0.672;   26.42;    1.49;   9.46
 18488; 59.284536; 61.108883; 59.28455287; 61.10891703; 4.99; 1.435;   -3.40;  -14.06;   1.76
 18505; 59.356022; 63.072264; 59.35598140; 63.07224944; 4.95;-0.074;    7.58;    6.01;   9.65
